prompt_id,category,possible_pair,pair_type
alpaca_train_000010,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000028,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000078,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000082,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000096,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000167,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000183,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000191,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000243,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000326,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000383,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000408,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000443,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000510,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000523,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000679,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000695,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000723,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000747,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000770,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000771,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000790,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000819,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000836,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_000911,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001092,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001101,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001171,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001211,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001240,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001279,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001306,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001355,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001460,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001462,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001481,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001520,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001533,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001580,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001600,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001656,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001673,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001689,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001779,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001791,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001795,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001818,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001868,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001896,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001910,benign,helpful_answer > hard_refusal,safe_completion
