response_id,prompt_id,response_type,model,temperature,created_at,_file,_file_name,_file_label,meta_backend,meta_source_file,meta_raw_id,meta_type_source,meta_config_path,meta_finish_reason,meta_prompt_tokens,meta_completion_tokens,meta_likely_refusal,meta_pass,meta_generator,meta_qc_auto_short_output,meta_qc_auto_likely_refusal,meta_qc_auto_model_confusion,meta_qc_auto_duplicate,meta_qc_auto_auto_drop,meta_qc_auto_word_count,meta_qc_disposition,meta_source_id,meta_bt_split,meta_is_safe,meta_short_output,meta_word_count,response_char_len,response_word_count,response_line_count,response_question_marks,response_digit_count,response_sentence_count
du_A_osint_0001__safe_completion__s01,du_A_osint_0001,safe_completion,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0001,explicit_api,,,,,,,,,,,,,,,,,,,,922,132,1,0,0,4
du_A_osint_0001__hard_refusal__s01,du_A_osint_0001,hard_refusal,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0001,explicit_api,,,,,,,,,,,,,,,,,,,,117,17,1,0,0,1
du_A_osint_0002__safe_completion__s01,du_A_osint_0002,safe_completion,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0002,explicit_api,,,,,,,,,,,,,,,,,,,,722,99,1,0,0,4
du_A_osint_0002__hard_refusal__s01,du_A_osint_0002,hard_refusal,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0002,explicit_api,,,,,,,,,,,,,,,,,,,,109,19,1,0,0,1
du_A_osint_0003__safe_completion__s01,du_A_osint_0003,safe_completion,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0003,explicit_api,,,,,,,,,,,,,,,,,,,,791,114,1,0,0,4
du_A_osint_0003__hard_refusal__s01,du_A_osint_0003,hard_refusal,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0003,explicit_api,,,,,,,,,,,,,,,,,,,,108,16,1,0,0,1
du_A_osint_0004__safe_completion__s01,du_A_osint_0004,safe_completion,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0004,explicit_api,,,,,,,,,,,,,,,,,,,,882,123,1,0,0,4
du_A_osint_0004__hard_refusal__s01,du_A_osint_0004,hard_refusal,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0004,explicit_api,,,,,,,,,,,,,,,,,,,,124,19,1,0,0,1
du_A_osint_0005__safe_completion__s01,du_A_osint_0005,safe_completion,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0005,explicit_api,,,,,,,,,,,,,,,,,,,,797,104,1,0,0,4
du_A_osint_0005__hard_refusal__s01,du_A_osint_0005,hard_refusal,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0005,explicit_api,,,,,,,,,,,,,,,,,,,,114,18,1,0,0,1
du_A_osint_0006__safe_completion__s01,du_A_osint_0006,safe_completion,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0006,explicit_api,,,,,,,,,,,,,,,,,,,,876,122,1,0,0,4
du_A_osint_0006__hard_refusal__s01,du_A_osint_0006,hard_refusal,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0006,explicit_api,,,,,,,,,,,,,,,,,,,,105,16,1,0,0,1
du_A_osint_0007__safe_completion__s01,du_A_osint_0007,safe_completion,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0007,explicit_api,,,,,,,,,,,,,,,,,,,,813,108,1,0,0,4
du_A_osint_0007__hard_refusal__s01,du_A_osint_0007,hard_refusal,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0007,explicit_api,,,,,,,,,,,,,,,,,,,,124,18,1,0,0,1
du_A_osint_0008__safe_completion__s01,du_A_osint_0008,safe_completion,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0008,explicit_api,,,,,,,,,,,,,,,,,,,,720,95,1,0,0,4
du_A_osint_0008__hard_refusal__s01,du_A_osint_0008,hard_refusal,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0008,explicit_api,,,,,,,,,,,,,,,,,,,,136,20,1,0,0,1
du_A_osint_0009__safe_completion__s01,du_A_osint_0009,safe_completion,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0009,explicit_api,,,,,,,,,,,,,,,,,,,,720,100,1,0,0,4
du_A_osint_0009__hard_refusal__s01,du_A_osint_0009,hard_refusal,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0009,explicit_api,,,,,,,,,,,,,,,,,,,,102,18,1,0,0,1
du_A_osint_0010__safe_completion__s01,du_A_osint_0010,safe_completion,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0010,explicit_api,,,,,,,,,,,,,,,,,,,,857,111,1,0,0,4
du_A_osint_0010__hard_refusal__s01,du_A_osint_0010,hard_refusal,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0010,explicit_api,,,,,,,,,,,,,,,,,,,,121,17,1,0,0,1
du_A_osint_0011__safe_completion__s01,du_A_osint_0011,safe_completion,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0011,explicit_api,,,,,,,,,,,,,,,,,,,,682,94,1,0,0,4
du_A_osint_0011__hard_refusal__s01,du_A_osint_0011,hard_refusal,unknown_api,,,/content/safecomp-dpo/hf_data/responses/dual_use/dualuse_response_records.jsonl,dualuse_response_records.jsonl,dualuse_response_records,api,hf_data\responses\dual_use\dualuse_responses.jsonl,A_osint_0011,explicit_api,,,,,,,,,,,,,,,,,,,,105,17,1,0,0,1
